# Module      AREA_UM  AREA_GRID
cbx_1__0_     1876.8   1500
cbx_1__1_     1876.8   1500
cbx_1__8_     1876.8   1500
cbx_2__0_     1876.8   1500
cbx_2__2_     1876.8   1500
cbx_2__8_     1876.8   1500
cby_0__1_     1876.8   1500
cby_1__1_     1876.8   1500
cby_2__1_     1876.8   1500
cby_3__1_     1876.8   1500
cby_8__1_     1876.8   1500
grid_clb      5630.4   4500
grid_mult_8   5630.4   10000
sb_0__0_      625.6    500
sb_0__1_      1876.8   1500
sb_0__8_      625.6    500
sb_1__0_      1876.8   1500
sb_1__1_      2502.4   2000
sb_1__2_      2502.4   2000
sb_1__8_      1876.8   1500
sb_2__0_      2502.4   2000
sb_2__1_      2502.4   2000
sb_2__2_      2502.4   2000
sb_2__8_      2502.4   2000
sb_3__0_      2502.4   2000
sb_3__1_      2502.4   2000
sb_3__8_      2502.4   2000
sb_8__0_      500.48   400
sb_8__1_      1876.8   1500
sb_8__2_      2502.4   2000
sb_8__8_      625.6    500
